revenue,profit,debt_ratio,current_ratio,gst_filings,litigation_flag,sector_growth,promoter_risk_score,years_in_business,interest_coverage,revenue_growth,cash_flow_positive,loan_default
46400.77,-0.0013,0.1453,1.8974,5,0,0.153,0.2597,32,2.3262,0.44,1,0
17900.85,0.0783,0.0693,2.4707,12,1,-0.0827,0.5047,33,0.5645,0.0331,1,0
58193.72,-0.0189,0.1527,2.8499,4,0,0.1322,0.3141,43,5.4946,0.2385,1,0
216326.64,0.0538,0.1191,3.0595,11,0,0.1185,0.174,13,2.2712,0.0514,0,0
15502.71,-0.184,0.3077,4.1999,8,0,0.1247,0.2147,28,4.9716,0.0815,1,0
15503.09,0.132,0.1948,1.2845,8,0,0.0796,0.0952,9,33.5171,0.2357,0,0
235347.69,0.1002,0.0348,1.1511,0,0,-0.0153,0.1402,48,1.3243,-0.0005,1,0
69644.02,-0.0226,0.1704,2.4394,2,0,0.1092,0.2071,43,3.531,-0.1588,1,0
10892.05,0.1989,0.4151,2.3493,0,0,0.0084,0.1346,3,8.6241,-0.081,1,0
49703.97,0.2406,0.4113,2.4299,5,0,0.0705,0.15,17,1.8382,-0.0821,0,0
10991.46,-0.1411,0.366,4.2403,11,0,-0.0228,0.1742,34,2.0722,0.0968,1,0
10953.4,-0.0144,0.2297,1.6581,2,0,0.0155,0.1609,32,4.1548,-0.2992,1,0
31664.25,-0.0154,0.4542,2.0403,0,0,0.0357,0.0342,9,20.7868,0.141,1,0
1248.98,-0.041,0.2161,1.0099,5,0,0.09,0.1423,41,4.5226,0.3333,1,0
1656.77,0.2244,0.314,4.7954,4,0,0.1067,0.2319,48,1.3851,-0.0216,1,0
9476.48,0.0709,0.433,1.3934,11,1,0.2196,0.3188,1,1.5258,-0.0509,0,0
4821.08,0.0603,0.3486,1.4133,11,0,0.0648,0.0529,49,1.8391,0.4735,1,0
35290.57,-0.2006,0.1668,1.3863,7,0,-0.0448,0.4297,42,0.634,0.3744,0,0
5641.83,0.1953,0.0703,1.1943,1,0,0.13,0.1543,20,2.393,0.1655,1,0
2647.96,-0.0859,0.0773,1.1449,7,0,0.0838,0.1895,5,2.7346,-0.0695,1,0
198485.86,0.109,0.2424,1.2689,11,0,0.031,0.3757,40,2.8203,0.1968,1,0
15698.74,0.1416,0.1227,0.8329,4,1,0.01,0.2048,45,0.8522,-0.1217,1,0
24374.49,0.3041,0.026,1.1133,7,0,-0.0118,0.2297,21,3.5832,-0.1846,0,0
2598.99,-0.0963,0.1705,4.3688,11,0,-0.0151,0.3282,5,1.2372,0.1704,0,0
9734.45,-0.3529,0.3986,2.3817,9,0,-0.072,0.4768,4,2.2453,-0.0157,1,0
26013.84,0.1276,0.3508,2.6194,3,1,0.1466,0.1944,8,1.5007,-0.3247,0,0
3918.68,0.3701,0.0977,2.9701,3,0,0.0935,0.2552,25,6.8464,0.1974,1,0
38698.15,0.2858,0.324,4.125,9,0,0.0593,0.263,7,1.5712,0.372,0,0
8946.72,0.1314,0.0935,0.68,3,1,-0.0121,0.1965,37,7.9764,0.2119,1,0
14220.78,0.0263,0.4324,0.8914,10,1,0.1589,0.47,42,3.0315,-0.0198,1,0
8932.4,0.2211,0.3504,1.1031,5,0,-0.0921,0.2595,32,3.8034,-0.3481,1,0
354483.57,-0.046,0.0851,1.3036,3,0,0.0369,0.3019,17,2.9055,0.1093,1,0
21585.01,0.1715,0.2282,1.4187,8,0,0.1482,0.1206,28,1.3746,-0.0514,0,0
4507.21,0.1758,0.0605,1.3185,8,0,-0.1493,0.1028,6,3.7615,-0.1003,1,0
75645.81,0.259,0.2181,1.8398,2,1,0.0676,0.1678,42,1.9272,-0.3094,1,0
3528.88,0.5139,0.159,1.6781,6,0,-0.016,0.4302,48,3.5046,0.4554,1,0
30130.57,0.1589,0.3965,1.1486,11,0,0.0621,0.3816,42,4.4067,-0.1394,1,0
1165.02,0.0237,0.4621,0.5556,4,1,0.0126,0.3352,36,12.4994,-0.2843,1,0
3004.06,0.0962,0.2588,1.0036,11,0,0.1094,0.0453,2,3.9618,0.4189,1,0
29592.96,-0.1654,0.6963,1.2528,8,0,0.1733,0.1586,31,5.8433,0.0862,1,0
66682.64,-0.0042,0.1725,1.4571,1,0,0.3013,0.449,1,4.6109,0.0552,1,0
28482.71,0.0386,0.3552,0.9372,2,0,0.0387,0.3959,3,2.2705,0.1419,1,0
18518.54,0.0214,0.3971,1.2899,9,1,0.1238,0.4558,13,4.6799,0.1671,1,0
14021.46,0.1229,0.2255,0.9366,4,0,0.0842,0.0317,31,2.461,0.1226,0,0
2397.58,-0.0234,0.1504,1.5482,11,0,0.0916,0.2034,29,1.9536,-0.2214,0,0
7481.84,0.2682,0.5,0.9641,4,1,0.1976,0.2143,44,1.1367,-0.2369,0,1
11037.37,0.1,0.2797,1.0785,9,1,-0.0184,0.1348,33,4.5822,-0.0658,0,0
107547.01,0.0986,0.2358,0.857,11,0,0.0142,0.4803,10,1.7254,-0.022,0,0
36880.1,0.0508,0.1925,1.5269,6,0,0.0325,0.0801,38,4.4941,0.008,1,0
1564.68,0.1233,0.2275,1.0691,12,0,-0.0485,0.1168,9,2.7285,0.1257,1,0
35815.14,0.2238,0.3626,2.5945,7,0,0.0499,0.0463,1,2.1655,0.0241,0,0
12361.93,-0.0301,0.2215,2.0197,7,0,0.1158,0.0971,44,1.3623,-0.0561,1,0
7979.39,0.0013,0.6332,1.5921,0,0,0.1328,0.2427,37,7.6955,0.1589,1,0
55133.59,0.0544,0.129,1.1066,0,0,0.0316,0.188,32,1.9855,0.2228,1,0
103414.38,-0.1019,0.3257,1.9942,2,0,0.1642,0.1645,33,9.6723,-0.0818,0,0
89047.05,-0.0229,0.1118,2.3288,0,1,-0.1574,0.1304,2,1.4126,-0.1936,0,1
6255.23,0.0286,0.1444,1.7706,0,0,0.2825,0.1282,46,9.0806,0.116,1,0
13851.95,0.2312,0.0073,3.6761,9,0,0.1067,0.1448,2,2.9071,-0.0041,0,0
36202.92,0.1394,0.1386,2.0747,7,0,0.007,0.4107,5,5.4118,0.2472,0,0
95160.26,0.129,0.0468,2.6034,0,0,0.0962,0.2688,10,0.9604,-0.117,1,0
10734.72,0.2276,0.2008,1.7626,8,0,0.0347,0.2518,38,0.9567,-0.1612,0,0
16672.43,0.0794,0.1715,2.3114,1,0,-0.1589,0.3359,37,3.3414,-0.0467,0,0
4190.17,0.1586,0.0518,1.107,8,1,0.0547,0.2204,2,1.2079,0.184,1,0
3661.73,0.0845,0.2704,1.311,6,0,0.1412,0.0542,41,7.871,0.0097,1,0
74517.46,0.1398,0.5279,1.9634,8,1,0.1464,0.3337,42,3.6372,0.0623,1,0
168444.24,0.0126,0.6679,1.9563,2,1,0.0752,0.1874,40,1.6236,-0.019,1,0
19771.26,-0.2658,0.0614,2.1251,0,0,0.1458,0.3195,25,1.3021,0.2831,0,0
99240.29,0.0799,0.3091,2.8582,0,0,0.0935,0.4801,38,2.158,0.1766,1,0
37890.44,0.3134,0.3527,0.8086,10,0,0.0723,0.0398,37,1.7259,-0.2245,1,0
8369.26,0.2389,0.4036,1.0129,9,1,-0.0189,0.1415,18,4.04,0.2602,0,1
37876.78,0.2448,0.2144,1.8493,5,0,0.0153,0.3446,27,2.5564,0.1981,0,0
221251.39,0.2854,0.3408,1.1478,6,0,0.0244,0.2374,20,6.922,0.297,1,0
20874.03,0.1133,0.4124,8.9252,8,0,0.0785,0.2066,34,4.5077,-0.0257,0,0
230260.25,0.1296,0.5724,2.1337,5,0,0.1303,0.2431,44,1.3585,-0.1078,1,0
432.85,0.0074,0.293,1.5854,4,0,-0.0114,0.5751,8,1.9339,0.0635,1,0
75572.95,0.0526,0.0393,1.2741,1,1,-0.0892,0.1641,4,1.3612,0.1126,0,0
25098.68,0.1924,0.2233,1.2968,1,0,0.194,0.0849,30,1.3622,0.3171,0,0
14065.62,0.2806,0.3399,1.6738,7,0,-0.0469,0.0584,36,0.6465,0.2073,0,0
25276.77,0.0791,0.1837,1.7437,0,0,0.099,0.1817,9,5.7719,0.1098,1,0
1117.27,0.0325,0.3886,1.3121,7,0,0.0753,0.0553,41,7.6435,0.0545,1,0
15843.14,0.1001,0.0846,1.4382,10,0,0.0156,0.0623,12,1.2336,0.0831,0,0
37634.21,0.1902,0.6434,3.2289,9,0,0.1107,0.1133,14,1.1381,0.0011,1,0
202165.32,-0.1166,0.1797,3.2945,10,0,-0.0708,0.1008,35,4.2578,0.2158,1,0
10123.3,-0.2444,0.099,1.8701,6,0,0.2131,0.1339,6,1.4113,-0.2104,0,0
6550.26,0.0174,0.132,0.8431,6,0,0.3135,0.0754,47,7.5327,0.0817,1,0
10377.18,-0.0831,0.4865,2.1582,4,0,0.1731,0.3151,23,1.532,0.2888,1,0
86951.27,0.0238,0.1421,3.5864,2,0,-0.031,0.2491,4,0.4913,-0.1471,1,0
36066.75,0.0778,0.3203,3.2703,6,0,-0.1826,0.1749,1,2.4493,0.4689,0,0
9950.32,0.032,0.5835,2.3803,6,0,0.0977,0.3345,9,1.6924,-0.1355,0,0
47567.32,0.3179,0.1278,3.3575,6,1,-0.0793,0.1974,48,3.0582,-0.0209,1,0
25479.16,0.149,0.5112,1.6933,11,1,0.0087,0.5023,9,2.0562,0.2852,1,0
94180.41,0.1451,0.4088,2.257,10,0,0.2023,0.2266,44,4.3113,0.3704,1,0
7684.19,0.1933,0.0406,1.1731,1,0,0.2124,0.1827,46,3.8133,0.1515,0,0
13473.86,-0.0708,0.4384,1.9081,2,0,0.2232,0.0365,15,3.5275,0.1462,1,0
12232.33,0.2559,0.4435,3.2052,2,0,0.0598,0.3149,24,3.1665,0.4376,0,0
2452.17,0.0886,0.0359,1.2279,3,0,0.1397,0.122,48,2.7169,-0.1936,1,0
34343.92,0.2006,0.26,1.0717,11,0,-0.1491,0.2795,8,0.8888,-0.265,1,0
32584.2,-0.0608,0.2885,1.7311,8,0,-0.0999,0.0948,28,3.7115,-0.3049,0,0
22196.06,-0.1331,0.2091,1.4721,9,0,0.0212,0.0789,42,4.882,-0.0903,1,0
15492.62,0.2227,0.1851,2.2809,0,0,0.1341,0.1659,46,3.5937,-0.0632,0,0
2635.8,0.1565,0.0719,1.3144,11,0,0.0074,0.1339,17,2.3136,0.1561,1,0
11719.77,-0.0353,0.3477,3.8932,6,0,0.1303,0.0787,35,4.3591,0.2816,1,0
13173.05,-0.0304,0.0091,0.8652,6,0,-0.0654,0.0813,31,3.2848,0.2617,1,0
6611.62,0.2688,0.2708,3.086,10,1,0.0602,0.3328,4,4.7975,0.2559,1,0
17293.25,-0.0784,0.2062,1.1248,3,0,0.105,0.118,48,2.5344,-0.1116,1,0
40379.45,0.3464,0.2354,0.6717,12,0,0.1257,0.5107,14,0.8677,0.157,0,0
372979.54,-0.0351,0.3703,1.857,10,1,0.0048,0.3044,25,2.356,-0.0668,1,0
28620.16,0.1958,0.2074,1.4516,0,0,0.0529,0.1009,46,1.2726,0.2002,0,0
32413.35,0.0507,0.332,0.9467,2,0,-0.1041,0.1707,48,1.8759,0.0885,1,0
19699.16,0.1905,0.2436,0.7113,4,1,0.0395,0.2458,40,2.9131,0.257,1,0
1238.73,0.0184,0.1829,1.6418,11,0,0.1582,0.0524,7,6.0017,0.5553,1,0
21167.65,0.0756,0.2654,2.6856,1,0,0.0237,0.1267,31,4.6311,0.0734,0,0
24109.12,0.1061,0.3713,2.2089,6,0,-0.0248,0.1427,35,3.2125,-0.1407,1,0
886346.44,-0.0503,0.3393,1.6961,9,0,0.1281,0.0938,38,7.378,-0.2462,1,0
16505.66,0.2111,0.0161,2.0947,9,0,0.2785,0.0385,20,2.8233,-0.0994,1,0
34624.65,0.023,0.37,1.6264,6,0,0.2673,0.4173,16,3.196,0.2934,1,0
20908.95,0.0657,0.3093,0.8067,11,0,0.0761,0.218,22,2.0071,0.1769,1,0
3816.1,-0.0492,0.0344,0.8102,9,1,0.1271,0.1104,36,1.1554,0.1261,1,0
122300.23,-0.2844,0.4081,1.4895,4,1,0.2139,0.1103,19,4.2441,0.1563,1,0
68043.3,0.0713,0.2869,1.5215,11,0,0.0741,0.4014,2,0.7753,0.2239,1,0
72153.27,0.4619,0.6274,2.5231,9,0,0.0961,0.1607,4,1.2905,-0.2314,0,0
5630.3,0.2177,0.13,2.4077,5,0,0.0177,0.2132,34,3.1331,0.2773,0,0
180627.37,0.0971,0.3683,2.2313,0,0,0.2868,0.2274,7,1.3782,0.1579,1,0
2689.8,0.0606,0.2068,1.4331,3,0,0.1219,0.1311,47,2.7572,-0.2081,1,0
53118.77,0.1034,0.5018,0.8267,3,0,0.0233,0.2105,49,3.0584,0.1471,1,1
588706.74,0.1821,0.257,2.0259,10,0,-0.0075,0.0634,14,1.7363,-0.1805,0,0
